label,text,lang
1,"The film fits into a genre that has been overexposed , redolent of a thousand cliches , and yet remains uniquely itself , vibrant with originality .",eng
1,ekspedisi memang bagus dan cepat,ind
1,:),slk
0,"Задержание Куандыка Бишимбаева было вполне ожидаемым , но это не помешало ему вызвать громкий общественный резонанс , передает сайт телеканала КТК . Антикоррупционная служба сообщила , что Бишимбаев тратил полученные взятки на "" личные нужды "" . А совсем недавно одного из первых выпускников по программе "" Болашак "" некоторые ставили в пример и называли воплощением "" казахстанской мечты "" . В 21 год он уже был главным менеджером "" Банка развития Казахстана "" , в 26 стал советником вице - премьера , затем управляющим холдинга "" Байтерек "" , и в 36 лет стал Министром национальной экономики уже . В жизни успешного казахстанского вундеркинда многое происходило стремительно . К примеру , Куандык окончил школу в 16 , в 19 уже получил высшее экономическое образование , в 21 год закончил еще два вуза – в Вашингтоне и в Таразе , где ректором , по странному стечению обстоятельств , работал его отец , Валихан Бишимбаев , который позже станет депутатом Мажилиса . На данный момент следствие больше всего интересует жизненный период , когда Куандык возглавлял холдинг "" Байтерек "" . Когда в ноябре были задержаны топ менеджеры дочерней компании "" Байтерек development "" , подозреваемые в получении сказочно огромных взяток , Бишимбаев заявил , что даже не догадывался о происходящем в течении трех лет . Нурсултан Назарбаев , президент Республики Казахстан сказал зо декабря 2016 года : Министр национальной экономики отстранен от должности в связи с возникшими вопросами по его деятельности в холдинге "" Байтерек "" . Сейчас идут следственные мероприятия . Ничего не могу сказать , пока не завершится следствие . Пока никаких подробностей в антикоррупционном бюро не сообщают . Известно только , что Бишимбаеву грозит либо до 15 лет с конфискацией , либо штраф , в 800 раз превышающий сумму полученных взяток . Если вина будет доказана . Следствие продолжается . Подписывайтесь на группу ' Устинки Live ' Вконтакте , чтобы первыми узнавать о главных новостях и важнейших событиях дня .",rus
1,﻿فتحه و نصرة و نوره و بركته و هداه,ara
1,"To nasz drugi pobyt w hotelu , tym razem zabrali śmy ze sobą Mamę , by w drodze na The Tall Ships Races w Szczecinie pokazać gdzie między innymi nocujemy podczas naszych weekendowych wypadów . Dostali śmy zgodnie z życzeniem pokoje obok siebie , nawet ku mojemu zdziwieniu mogli śmy zameldować się już przed 10 rano . Dostali śmy też 3 vouchery na drink powitalny . Dla członków Le Club Accorhotels jest też tzw . upominek VIP , słynny rogal marciński , który jest tak smaczny , że wracając z regat specjalnie zatrzymuję się na godzinę w Poznaniu ( a podróżujemy pociągiem ) , by móc je kupić w hotelowej cukierni dla reszty rodziny , aby mogli zaznać tego smaku . Myślę , że z racji tego wczesnego zameldowania gdzieś tam o mnie zapomniano , ale za to rano podczas wymeldowania otrzymał em paczuszkę dużo bogatszą ; - ) Oprócz pysznych śniadań bogatych we wszelkiego rodzaju produkty , skorzystali śmy również z restauracji . Pierogi , zupy , ale i desery - przepyszne . W jednym z pokoi nie do końca działała klimatyzacja , ale szczerze mówiąc to jest ten typ sterowników , którego nie lubię . Nie mogę się z tym nigdy “ dogadać ” ; - ) Podsumowując , wrócimy na pewno , bo przede wszystkim atmosfera jest tego warta . Na każdym kroku czuli śmy się jak w domu . Pozdrawiamy !",pol
1,재미있고 감동적인 영화네요. 이산가족의 아픔을 말하는군요...,kor
0,酒店 太 陳舊 ， 2 - 3 星 的 標準 ！ ！ ！ ！ ！ 沒 安全 感 ！,zho
1,"saya dan keluarga makan di tempat ini saat menginap di bandung , terletak di sekitar dago , saat itu kami makan sate ayam , sate kambing , dan gulai , rasanya memang mantap , dan untuk sate ayam ukuran nya agak besar dibanding sate ayam pada umum nya . untuk harga memang relatif lebih mahal , tapi masih wajar mengingat ukuran nya juga lebih besar dan cita rasanya enak enak sekali .",ind
1,"Sweetly sexy , funny and touching .",eng
1,non king adan,bam
1,"Un lugar para olvidarse del stress y disfrutar del paisaje , el silencio , el aire libre y de muchas posibilidades ( además , a pocos kilometros tenemos la playa ) .",spa
0,"Z racji wykonywanej pracy jestem częstym gościem tego hotelu . To stary hotel zakupiony przez Accor i przebrandowany na Novotel . Kiedyś za czasów Orbisu stanowił wysoki standard . Teraz jednak zszedł na psy . Przydał by się gruntowny remont , wymiana "" wyleżanych "" materacy , etc . W umywalce i pod prysznicem leci czasem woda z brązowym osadem . Kolejny minus to szumiąca , niedająca się wyłączyć wentylacja . A najgorszą rzeczą jest plastikowa cerata na materacu , którą trzeba zdjąć przed pójściem spać , chyba , że ktoś lubi sen na plastiku . Jedyne dobre strony to miła obsługa , brak karaluchów , lokalizacja i fakt , że mój pracodawca opłaca te noclegi . Za swoje pieniądze zdecydowanie radzę poszukać innego hotelu",pol
1,"Joni , Vashti og alle som noensinne har gitarfingerspilt over hele greia .",nor
0,كېۋەزلىكنى ياخشى پەرۋىش قىلالمىغاچقا، ئايشەم بىر مەھەل كەنتتىكى تۆۋەن كاپالەتلىك ئاھالە بولۇپ قالغانىدى.,uig
0,เอาเวลาไปจับยาบ้าดีกว่ามั้ยคะ,tha
0,"kokoajan, jokapuolelta tulee valituksia ja vieläpä IHAN TURHASTA, eikä koskaan positiivista palautetta...OLISKO HEI SIIHEN IHAN JOKU SYY?",fin
1,"お 店 で 買う より 断然 安く 品質 も 問題 ない ので リピ 買い して い ます ☆
",jpn
1,Mình vừa được trải nghiệp Bphone xong. Rất ok!,vie
1,"Πολύ καλό κινητό, αξίζει τα λεφτά του και με το παραπάνω. Πέρα από τα καλά τεχνικά χαρακτηριστικά, ξεχωρίζει η 5000mAh μπαταρία που δεν τελειώνει ποτέ (τρόπος του λέγειν) και το fingerprint sensor! Αξίζει!",ell
1,tg ces la loi fosaya bug,bam
1,What sets this romantic comedy apart from most Hollywood romantic comedies is its low-key way of tackling what seems like done-to-death material .,eng
0,מדינה יהודית ודימוקרטית לא הולכים ביחד ! ! !,heb
0,Il-kaċċaturi minn kollox qegħdin jagħmlu biex joqtlu l-għasafar u kull ħaġa tal-għaġeb u għeżież għan-natura.,mlt
1,"Казахстану нужно сохранить лидерство по привлечению иностранных инвестиций , необходимо привлекать транснациональные компании , разработать инвестиционную стратегию . Об этом глава государства Нурсултан Назарбаев написал в ежегодном Послании народу Казахстана . Президент отметил , что важную роль в привлечении финансовых ресурсов в экономику страны должен играть Международный финансовый центр ' Астана ' . ' Нам следует встраиваться в глобальные цепочки производства и сбыта товаров и услуг . Это нужно делать прежде всего за счет привлечения транснациональных компаний . Необходимо эффективно реализовать совместную с Китаем инвестиционную программу по созданию производств в Казахстане . Договоренности с китайской стороной достигнуты . Объекты обозначены . Нужно конкретно работать ' , — сказал президент . Глава государства уточнил , что это будут современные производства с созданием порядка 20 тысяч новых рабочих мест для казахстанцев . На сегодня начата реализация шести проектов , а два проекта уже запущены . Один из них — завод по крупноузловой сборке гибридных и полностью электрических автомобилей JAC . Нурсултан Назарбаев поручил проработать вопрос дальнейшего развития производства электромобилей с экспортной ориентацией и предусмотреть создание необходимой инфраструктуры . ' В целом у Казахстана должна быть своя инвестиционная стратегия . Правительству нужно подготовить ее до 1 сентября текущего года ' , — отметил президент . Кроме того , он отметил , что горно - металлургический и нефтегазовый комплексы должны сохранить свое стратегическое значение для устойчивости экономического роста . ' В условиях замедления мирового спроса нужно выходить на новые рынки и расширять географию поставок . Большое внимание должно быть уделено расширению минерально - сырьевой базы . Необходимо активное проведение геологоразведки . Дальнейшее развитие этих отраслей должно быть жестко увязано с углублением комплексной переработки сырья . Поручаю до конца года обеспечить принятие нового Кодекса о недрах и внесение необходимых поправок в налоговое законодательство ' , — говорится в Послании . Источником материалов является центр деловой информации Kapital.kz",rus
1,"今日行過又走去試下$17碗送豆漿~因為佐敦都有好幾間食米線,難得佢呢度可以轉油麵,咁就叫左個雲吞,牛腩油麵少辣~D油麵岩岩好...食落又真係幾麻辣feel~抵食~服務態度又好~",cmn
1,"Langileak , gutxienez korrektoak , eta gehienetan jatorrak .",eus
0,کیفیت کباب ترکی گوشت خیلی پایین بود. گوشت اصلا طعم دار نشده بود و بوی بد میداد. من دوغ قوطی سفارش داده بودم طبق منوی رستوران …اما دوغ بطری ارسال شد که اینا قیمتای متفاوت دارن. بعد از سالها خواستم کباب ترکیه نشاطو امتحان کنم اما پشیمان شدم. در قیاس با کباب ترکی‌های خیابان شیخ بهایی، امتیاز نشاط از نظر من زیر صفره.,fas
0,"Lúc đâu tưởng chỉ vài triệu, đọc cuối ai ngờ,....",vie
1, 想不到有點事到大班樓一行，口痕痕說想食雞油花雕蒸大花蟹，結果是坐言起行，中蟹連加一索價近$1300，每次蒸都是分兩次，目的是因應花蟹大小而調教花雕的濃度，力求每個細節都不能出錯，芳香撲鼻，蟹肉鮮甜可口，除了原先的陳村粉，另外再加點一碗飯撈起，十分滋味。最後，當然是來兩球雪糕，子薑雪糕入口清新而杞子雪糕清甜，令人再三回味。,cmn
1,vybavil vec rychlo a dobre,slk
1,"Nakon ovako dobre pizze i jeftine i najludeg sendvica koji sam vidio ikad kod nas fajita sendvic . Definitivno mogu samo reci joooojjjj sto nisam i pivu narucio pa da moze divno da zavrsi vecer . Apsolutni pobjednici kvarta samo nastavite ovako nemojte se pokvariti molim vas : D i da probajte kupiti smjesu za palacinke praviti to je jedino onako u rangu svih ostalih dostava , drugo sve nema bolje .",hrv
1,"Snickers je prosli put bio bolji : ) dvoje nas se slaze , ali i dalje jako fino , no dobro zato je rafaelo ispravio sve cisti seks , twix nam se ne svida poklonili smo ih sustanaru njemu su dobre , marelica mi je prosli put uljepsala dan steta sto ovaj put nisam to uzeo . Sve u svemu jako dobro , po dostavi mozes sat podesiti u minutu tocni , bez konkurencije u palacinkama ( ali i sa cijenom istih no iznad svih ste i po kvaliteti tako da je opravdano ) , kad bi bar svi imali makar tijesto ko vase , ove price gumeno meni ne drze vodu za vas , vidim da to pisu po komentarima , s obzirom kakvo dobijem od ostalih ovo je vrhunski proizvod , da uvijek moze bolje je istina , ne raditi vikendom mi je smijesno , ok zivite od firmi pretpostavljam , ali da ne bi imali posla vise vikendom ne vjerujem . .",hrv
1,Много глупав филм!,bul
1,جۇڭگو تەرەپ ئېفىيوپىيە تەرەپنىڭ مۇقىملىقنى قوغداش، ئىقتىسادنى تەرەققىي قىلدۇرۇش، خەلق تۇرمۇشىنى ياخشىلاش ئۈچۈن كۆرسەتكەن تىرىشچانلىقىنى قوللايدۇ، ئېفىيوپىيە تەرەپ بىلەن يۇقىرى قاتلام ئالاقىسى ۋەزىيىتىنى ساقلاپ، بىر - بىرىنىڭ يادرولۇق مەنپەئىتىگە چېتىلىدىغان ۋە كۆڭۈل بۆلىدىغان مۇھىم، زور مەسىلىلەردە داۋاملىق ئۆزئارا چۈشىنىش ۋە قوللاشنى؛ ئىككى تەرەپنىڭ ئۆزئارا مەنپەئەت يەتكۈزۈش ھەمكارلىقىنى ئالغا سىلجىتىپ، ئېفىيوپىيە تەرەپنىڭ سانائەتلىشىش سەۋىيەسى ۋە ئېكسپورتتىن تاشقى پېرېۋوت يارىتىش ئىقتىدارىنى ئۆستۈرۈشىگە ياردەم بېرىشنى؛ كىلىمات ئۆزگىرىشى، ئافرىقا تۇمشۇقى ۋەزىيىتى قاتارلىق خەلقئارا ۋە رايون ئىشلىرىدىكى پىكىر ئالماشتۇرۇش ۋە ماسلىشىشنى قويۇقلاشتۇرۇشنى خالايدۇ.,uig
1,"An undeniably gorgeous , terminally smitten document of a troubadour , his acolytes , and the triumph of his band .",eng
1,Страхотен!!! Заслужава да се гледа!!! Страхотна актьорска игра :),bul
1,"Νεως κάτοχος και εγώ από εχτές,για τα τα λεφτά του το 6/64 που πήρα εγώ είναι ΆΨΟΓΟ σε όλα του, βάζοντας και την gcam ανεβάζει επίπεδο και στης φωτό",ell
1,是 一家 很 實惠 的 酒店 ， 交通 方便 ， 房間 也 寬敞 ， 晚上 沒有 電話 騷擾 ， 住 了 兩次 ， 有 一次 住 ５ ０ １ 房間 ， 洗澡 間 排水 不 暢通 ， 也許是 個別 問題 ． 服務 質量 很好 ， 剛 入 住 時 沒有 調 好 寬 帶 ， 服務 員 很快 就 幫忙 解決 了 ．,zho
1,"La habitacion perfectamente insonorizada , con minibar gratuito ( sin alcohol ) , tv plana , plancha ...",spa
1,賓館 反饋 2008 年 7 月 8 日 ： 首先 感謝 您 此次 選擇 下榻 虹橋 迎賓館 ！ 您 的 入 住 滿意 就是 對 我們 接待 服務 工作 最好的 肯定 與 激勵 ！ 酒店 員工 將 一如既往 ， 不斷 努力 ， 服務 好 每一 位 客人 ， 提升 服務 品質 ， 爭取 更多 的 賓客 滿意 率 ！ 同時 酒店 現階段 推出 了 優惠 房價 及 相應 的 增值 服務 ， 具體 您 可 查詢 網站 內容 ， 真誠 期待 您 的 再次 光臨 ！,zho
0,Chắc lại ế như S6 thôi!?!,vie
1,ซื้อ การ์นิเย่ ซองละ20 มาใช้ยังดีกว่า,tha
0,Dày thêm 1mm nữa ok nhưng pin khủng lên tí là ngon mà cam khả năng cao không bị lồi!,vie
1,tg fo saya c est la loi team gladia,bam
1,« Gulosten » er en strålende tegneserie om en kriminell krigshelt,nor
1,ـــ باش شۇجى شى جىنپىڭنىڭ «ئىككىدىن غەم قىلدۇرماسلىق، ئۈچتە كاپالەتلەندۈرۈش»تىكى گەۋدىلىك مەسىلىلەرنى ھەل قىلىش سۆھبەت يىغىنىدا قىلغان مۇھىم سۆزى ئاپتونوم رايونىمىزدا قىزغىن ئىنكاس قوزغىدى,uig
1,真誠 坦率 的 講述 了 自己 ， 不僅僅 有 光纖 的 一面 還有 猥瑣 的 一面 （ 因 文化 差異 導致 的 放蕩 行為 讓人 不能 接受 和 理解 ！ 抱歉 雅 尼 ） 。 他 混沌 過 ， 也 頹廢 過 ， 但是 關鍵時刻 他 總能 找回 自己 － 本質 的 自己 ! 他 最終 的 成就 歸公 於 超強 的 自我 控制 力 和 專注 力 ， 幾乎是 常人 難以 想象 和 理解 的 ！ 也許 ， 沒有 這樣 的 付出 和 堅持 ， 不可能 創造 奇蹟 。 這本書 讓 我 認識 了 雅 尼 ， 也 深深 認識 到 成功 所需 付出 的 代價 。 渴望 成功 而又 沒有 方向 的 人 該 看看 。,zho
1,"בהצלחה , בטוחה שתביא איתך הרבה כבוד 👏👏",heb
1,Guztiz gomendagarria benetan ... oso familia jatorra eta etxe txukuna ... gau desberdin bat pasatzeko aukera polita .,eus
1,خیلی خیلی خوشمزه و مغز پخت. یکی از بهترین مرغ‌های بریان تنها ایراد بسته بندی بود که خیلی بد بود و بد به دست رسید و از مدیریت خواهش میکنم اندازه مرغ‌ها تغییر نکنه چون به دلیل سایزی که داره مغز پخت میشه و مثل خیلی از جاها خام نیست,fas
0,位置 沒有 攜 程 說的 那麼 中心 ， 距離 天河 購物 中心 開車 約 6 - 7 分鐘 ， 走路 的 話 就 免 了 吧 。 酒店 設施 和 裝修 很 一般 ， 最多 一個 三星 標準 。,zho
1,即使 墮落 ， 即使 痛苦 ， 即使 貧窮 ， 即使 卑微 ， 即使 身 無 分 文 。 我們 只要 善良 ， 只要 勇敢 。 這 。 就是 我們 自己 的 世界 。 這 不僅僅是 一本 兒童讀物 ， 在 看似 幼稚 無趣 的 情節 裡 ， 你會 讀出 人性 。 你會 想 ， 假使 世界 的 每個人 都會 像 這位 公主 一樣 ， 那麼 ， 還會 存在 暴力 存在 苦難 存在 不公平 嗎 。 不會 的 ， 如果 世界 的 每一個 人 都 認真 讀 一下 這本書 。 你會 看到 。 萬物 復甦 。 春暖花開 。,zho
1,Thật tuyệt. Chính Tim Cook cũng phải ganh tị,vie
1,علي فكرة عبد الله السعيد صانع الاهداف الثلاثة الماتش الاخير,ara
1,"Taquitos con pollo super , piletina sa kikirikijem izvrsna ( gomila kikirikija unutra ) . Dostava brza , 10 min ranije nego je pisalo.Kolicine su jako obilne .",hrv
0,"Алматинцы жалуются на работу коммунальных служб города . Накануне 19 ноября в городе пошел обильный снегопад . "" В обед , около 13.00 , мы выехали с улицы Оспанова и только через полтора часа доехали до Толе би - Достык . По дороге мы не увидели ни одной снегоуборочной машины . Из - за обильного снегопада движение автомашин было медленное . Не едем , а плывем . Вроде бы переобули шины и машина нормальная . Но все равно из - за большого количества снега и из - за того , что его вовремя не убирают , мы практически плыли . Уже часа три прошло . А мы только одну снегоуборочную увидели на Фурманова "" , - рассказала жительница города Тогжан . Между тем другой житель мегаполиса пожаловался на велосипеды системы проката AlmatyBike , которые расположены на пересечении улицы Сатпаева и проспекта Достык . Ринат Магауия задался вопросом , почему из - за халатности некоторых работников должны ржаветь велосипеды . "" Было очень неприятно , никто их не убирает . Да , несомненно , летом велосипеды очень красиво смотрятся . А тут снег пошел , а они до сих пор стоят . Это наши налоги ржавеют в снегу "" , - поделился мужчина . Между тем в управлении природных ресурсов и природопользования отметили , что работы по уборке снега продолжаются круглосуточно . Как оказалось , в городе по уличной уборке трудятся 15 подрядных организаций . На данный момент на ликвидации последствий погодных условий задействованы свыше 400 единиц спецтехники , а также более 500 человек . "" У нас двухсменная работа - в ночное и дневное время . Коммунальные службы ни на минуту не останавливаются . Только перерыв на обед с 12.00 до 13.00 , и дальше работают . Сейчас работы идут , надсыпка , сгребание , повторная обработка дорожного полотна и так далее . На данный момент интенсивность снега не падает . По технологии уборки , кроме данных видов работ , ничего не сделаешь . Где не задействована механизированная уборка , там идут вручную работают люди "" , - сообщил специалист управления Даурен Нурдаулетов . Тем временем в аэропорту Алматы сообщили , что за последние дни ни один рейс не был задержан по причине погодных условий . "" На сегодняшний день аэропорт обеспечен необходимым набором техники для того , чтобы содержать аэродром в зимнее время . Мы располагаем большим парком техники , включая последние два приобретения . Это американские машины , которые очень производительны . Они чистят от снега взлетно - посадочную полосу аэропорта на очень большой скорости "" , - рассказал вице - президент АО "" Международный аэропорт Алматы "" Александр Гордеев . Он также добавил , что в некоторых европейских городах при таких обильных снегопадах местные аэропорты закрываются . Чтобы избежать таких проблем , руководство алматинской воздушной гавани купило дополнительную технику для уборки снега . Кроме того , аэропорт закупил свыше 300 тонн химических средств для борьбы с обильным снегопадом и гололедом . Ранее синоптики "" Казгидромета "" сообщали , что морозы в Казахстане 19 - 21 ноября будут усиливаться . Синоптики отмечают , что настоящая зимняя погода установилась в Казахстане благодаря холодному и обширному антициклону , сформировавшемуся над северными районами Сибири . "" В предстоящие выходные дни морозы в республике будут усиливаться с поступлением новых порций арктического воздуха . Ночная температура в северных , центральных и восточных областях ожидается 30 - 35 градусов , местами 40 градусов мороза , на западе 20 - 28 градусов "" , - говорится в информации . На юге и юго - востоке Казахстана , по прогнозам синоптиков , также будет холодно . "" Ожидается снег , местами сильный , очень сильный восточный ветер и метель . Температура воздуха в ближайшие трое суток на всей территории Казахстана сохранится на 13 - 20 градусов ниже климатических значений "" , - сообщили в Казгидромете .",rus
1,بۇنىڭدىكى ئىدىيە قوغداشنى ئالدىنقى ئورۇنغا قويۇش، مۇۋاپىق پايدىلىنىش، سىجىل تەرەققىي قىلدۇرۇشتىن ئىبارەت.,uig
